FILE_TYPE,DISCHARGE_MONTH,PREV_YR_AVG,#_RECDS_EXPECTED_(TARGET),#_RECDS_LOADED,SHORTAGE,PCT_OF_PREVYRAVG_SUBMTD_,EXCEPTION_ON_FILE_W/SPARCS,EXTENSION_GRANTED,FILE_LAST_SUBMTD,PFI,AUDIT_YEAR
AS,January,20,16,12,4,0.6,YES,,2021   APR,000812,2021
AS,February,,15,12,3,0.6,YES,,2021   APR,000812,2021
AS,March,,16,13,3,0.65,YES,,2021   MAY,000812,2021
AS,April,,16,5,11,0.25,YES,,2021   JUN,000812,2021
AS,May,,16,17,,0.85,,,2021   JUL,000812,2021
AS,June,,16,18,,0.9,,,2021   AUG,000812,2021
AS,July,,16,11,5,0.55,YES,,2021   OCT,000812,2021
AS,August,,16,11,5,0.55,YES,,2021   OCT,000812,2021
AS,September,,16,13,3,0.65,YES,,2021   NOV,000812,2021
AS,October,,16,12,4,0.6,YES,,2021   DEC,000812,2021
AS,November,,16,15,1,0.75,YES,,2022   JAN,000812,2021
AS,December,,15,16,,0.8,,,2022   FEB,000812,2021
ED,January,571,456,448,8,0.78,YES,,2021   APR,000812,2021
ED,February,,428,432,,0.75,,,2021   MAY,000812,2021
ED,March,,456,477,,0.83,,,2021   MAY,000812,2021
ED,April,,456,524,,0.91,,,2021   JUN,000812,2021
ED,May,,456,517,,0.9,,,2021   JUL,000812,2021
ED,June,,456,637,,1.11,,,2021   NOV,000812,2021
ED,July,,456,718,,1.25,,,2021   NOV,000812,2021
ED,August,,456,678,,1.18,,,2021   NOV,000812,2021
ED,September,,456,747,,1.3,,,2021   NOV,000812,2021
ED,October,,456,773,,1.35,,,2021   DEC,000812,2021
ED,November,,456,716,,1.25,,,2022   JUL,000812,2021
ED,December,,428,736,,1.28,,,2022   FEB,000812,2021
IP,January,63,50,40,10,0.63,YES,,2021   MAR,000812,2021
IP,February,,47,27,20,0.42,YES,,2021   APR,000812,2021
IP,March,,50,57,,0.9,,,2021   MAY,000812,2021
IP,April,,50,49,1,0.77,YES,,2021   JUN,000812,2021
IP,May,,50,50,,0.79,,,2021   JUL,000812,2021
IP,June,,50,53,,0.84,,,2021   AUG,000812,2021
IP,July,,50,45,5,0.71,YES,,2021   SEP,000812,2021
IP,August,,50,60,,0.95,,,2021   OCT,000812,2021
IP,September,,50,31,19,0.49,YES,,2021   NOV,000812,2021
AS,January,1935,1548,"2,126",,1.09,,,2021   JUL,000001,2020
AS,February,,1451,"2,038",,1.05,,,2021   MAR,000001,2020
AS,March,,1548,"1,728",,0.89,,,2023   FEB,000001,2020
AS,April,,1548,864,684,0.44,YES,,2021   APR,000001,2020
AS,May,,1548,"1,179",369,0.6,YES,,2021   AUG,000001,2020
AS,June,,1548,"2,014",,1.04,,,2022   NOV,000001,2020
AS,July,,1548,"2,230",,1.15,,,2022   NOV,000001,2020
AS,August,,1548,"2,184",,1.12,,,2022   APR,000001,2020
AS,September,,1548,"2,217",,1.14,,,2022   APR,000001,2020
AS,October,,1548,"2,012",,1.03,,,2022   NOV,000001,2020
AS,November,,1548,"1,885",,0.97,,,2022   JUL,000001,2020
AS,December,,1451,"1,844",,0.95,,,2022   MAR,000001,2020
ED,January,5105,4084,"5,581",,1.09,,,2022   MAY,000001,2020
ED,February,,3828,"5,181",,1.01,,,2022   AUG,000001,2020
ED,March,,4084,"5,484",,1.07,,,2023   FEB,000001,2020
ED,April,,4084,"2,449",1635,0.47,YES,,2021   OCT,000001,2020
ED,May,,4084,"3,054",1030,0.59,YES,,2022   NOV,000001,2020
ED,June,,4084,"3,634",450,0.71,YES,,2022   SEP,000001,2020
ED,July,,4084,"3,930",154,0.76,YES,,2022   JUL,000001,2020
ED,August,,4084,"4,149",,0.81,,,2022   NOV,000001,2020
ED,September,,4084,"3,666",418,0.71,YES,,2022   NOV,000001,2020
ED,October,,4084,"3,190",894,0.62,YES,,2023   FEB,000001,2020
ED,November,,4084,"3,072",1012,0.6,YES,,2022   APR,000001,2020
ED,December,,3828,"3,542",286,0.69,YES,,2022   SEP,000001,2020
IP,January,3354,2683,"3,700",,1.1,,,2022   JUN,000001,2020
IP,February,,2515,"3,451",,1.02,,,2021   DEC,000001,2020
IP,March,,2683,"3,070",,0.91,,,2022   JUN,000001,2020
IP,April,,2683,"2,130",553,0.63,YES,,2021   DEC,000001,2020
IP,May,,2683,"2,892",,0.86,,,2021   SEP,000001,2020
IP,June,,2683,"3,179",,0.94,,,2021   DEC,000001,2020
IP,July,,2683,"3,331",,0.99,,,2021   NOV,000001,2020
IP,August,,2683,"3,278",,0.97,,,2022   SEP,000001,2020
IP,September,,2683,"3,192",,0.95,,,2022   NOV,000001,2020
AS,January,27,21,22,,0.81,,,2023   MAR,000165,2023
AS,February,,20,19,1,0.7,NO,,2023   MAR,000165,2023
AS,January,28,22,0,22,0.0,NO,,,000989,2023
AS,February,,21,0,21,0.0,NO,,,000989,2023
AS,January,204,163,96,67,0.47,NO,,2023   FEB,010078,2023
AS,February,,153,60,93,0.29,NO,,2023   FEB,010078,2023
AS,January,407,325,438,,1.07,,,2022   APR,010102,2022
AS,February,,305,392,,0.96,,,2022   APR,010102,2022
AS,March,,325,490,,1.2,,,2022   APR,010102,2022
AS,April,,325,0,325,0.0,NO,,,010102,2022
AS,May,,325,0,325,0.0,NO,,,010102,2022
AS,June,,325,0,325,0.0,NO,,,010102,2022
AS,July,,325,0,325,0.0,NO,,,010102,2022
AS,August,,325,0,325,0.0,NO,,,010102,2022
AS,September,,325,0,325,0.0,NO,,,010102,2022
AS,October,,325,0,325,0.0,NO,,,010102,2022
AS,November,,325,0,325,0.0,NO,,,010102,2022
AS,December,,305,0,305,0.0,NO,,,010102,2022
IP,January,103,82,0,82,0.0,YES,,,000102,2020
IP,February,,77,0,77,0.0,YES,,,000102,2020
IP,March,,82,0,82,0.0,YES,,,000102,2020
IP,April,,82,0,82,0.0,YES,,,000102,2020
IP,May,,82,0,82,0.0,YES,,,000102,2020
IP,June,,82,0,82,0.0,YES,,,000102,2020
IP,July,,82,0,82,0.0,YES,,,000102,2020
IP,August,,82,0,82,0.0,YES,,,000102,2020
IP,September,,82,0,82,0.0,YES,,,000102,2020
IP,October,,82,0,82,0.0,YES,,,000102,2020
IP,November,,82,0,82,0.0,YES,,,000102,2020
IP,December,,77,0,77,0.0,YES,,,000102,2020
OP,January,1525,1220,"1,606",,1.05,,,2021   MAR,000102,2020
OP,February,,1143,"1,419",,0.93,,,2021   MAR,000102,2020
OP,March,,1220,"1,496",,0.98,,,2021   MAR,000102,2020
OP,April,,1220,"1,678",,1.1,,,2021   MAR,000102,2020
OP,May,,1220,"1,557",,1.02,,,2021   MAR,000102,2020
OP,June,,1220,"1,684",,1.1,,,2021   FEB,000102,2020
OP,July,,1220,"1,701",,1.11,,,2021   FEB,000102,2020
OP,August,,1220,"1,496",,0.98,,,2021   FEB,000102,2020
OP,September,,1220,"1,672",,1.09,,,2021   FEB,000102,2020
OP,October,,1220,"1,616",,1.05,,,2021   FEB,000102,2020
OP,November,,1220,"1,466",,0.96,,,2021   JAN,000102,2020
OP,December,,1143,"1,406",,0.92,,,2021   MAR,000102,2020
AS,January,1184,947,"1,239",,1.04,,,2021   MAY,001740,2020
AS,February,,888,"1,196",,1.01,,,2020   NOV,001740,2020
AS,March,,947,787,160,0.66,YES,,2021   MAR,001740,2020
AS,April,,947,130,817,0.1,YES,,2020   NOV,001740,2020
AS,May,,947,238,709,0.2,YES,,2020   NOV,001740,2020
AS,June,,947,781,166,0.65,YES,,2021   MAR,001740,2020
AS,July,,947,"1,201",,1.01,,,2020   NOV,001740,2020
AS,August,,947,"1,208",,1.02,,,2021   MAR,001740,2020
AS,September,,947,"1,188",,1.0,,,2021   MAR,001740,2020
AS,October,,947,"1,323",,1.11,,,2021   MAR,001740,2020
AS,November,,947,"1,198",,1.01,,,2021   MAR,001740,2020
AS,December,,888,"1,053",,0.88,,,2021   MAR,001740,2020
ED,January,6112,4889,"6,963",,1.13,,,2021   MAY,001740,2020
ED,February,,4584,"5,820",,0.95,,,2021   JUL,001740,2020
ED,March,,4889,"5,144",,0.84,,,2021   MAY,001740,2020
ED,April,,4889,"2,339",2550,0.38,YES,,2020   NOV,001740,2020
ED,May,,4889,"2,687",2202,0.43,YES,,2021   MAY,001740,2020
ED,June,,4889,"3,420",1469,0.55,YES,,2021   MAR,001740,2020
ED,July,,4889,"4,251",638,0.69,YES,,2020   NOV,001740,2020
ED,August,,4889,"4,285",604,0.7,YES,,2021   MAY,001740,2020
ED,September,,4889,"4,268",621,0.69,YES,,2021   OCT,001740,2020
ED,October,,4889,"4,218",671,0.69,YES,,2021   MAY,001740,2020
